gameid,date_time,away_id,away_score,home_id,home_score
323162567,Sun Nov 11 2012 19:00:00 GMT-0500 (Eastern Standard Time),2351,58,2567,73
323162619,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),481,57,2619,93
323162437,Sun Nov 11 2012 19:00:00 GMT-0500 (Eastern Standard Time),603,96,2437,86
323162509,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2275,54,2509,83
323162579,Sun Nov 11 2012 15:00:00 GMT-0500 (Eastern Standard Time),270,75,2579,82
323162643,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),2005,77,2643,70
323162678,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),349,80,2678,74
323170048,Mon Nov 12 2012 21:30:00 GMT-0500 (Eastern Standard Time),219,69,48,84
323170024,Mon Nov 12 2012 23:30:00 GMT-0500 (Eastern Standard Time),2239,68,24,81
323162717,Sun Nov 11 2012 19:00:00 GMT-0500 (Eastern Standard Time),2369,68,2717,95
323170061,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2754,68,61,56
323170087,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2405,57,87,84
323170066,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2010,40,66,98
323170120,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2413,45,120,67
323170052,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2084,68,52,95
323170071,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),292,61,71,78
323170130,Mon Nov 12 2012 21:00:00 GMT-0500 (Eastern Standard Time),85,54,130,91
323170084,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2449,61,84,87
323170164,Mon Nov 12 2012 19:30:00 GMT-0500 (Eastern Standard Time),2529,62,164,88
323170167,Tue Nov 13 2012 02:00:00 GMT-0500 (Eastern Standard Time),2166,81,167,86
323170221,Mon Nov 12 2012 18:00:00 GMT-0500 (Eastern Standard Time),2230,51,221,86
323170249,Mon Nov 12 2012 22:30:00 GMT-0500 (Eastern Standard Time),2008,78,249,75
323170235,Mon Nov 12 2012 19:30:00 GMT-0500 (Eastern Standard Time),2454,66,235,81
323170245,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2653,65,245,83
323170236,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2631,53,236,88
323170228,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2506,44,228,77
323170258,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2217,45,258,54
323170259,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),227,50,259,69
323170251,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2154,46,251,69
323170356,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2597,64,356,89
323170288,Mon Nov 12 2012 18:00:00 GMT-0500 (Eastern Standard Time),310,55,288,73
323170325,Mon Nov 12 2012 18:00:00 GMT-0500 (Eastern Standard Time),189,73,325,79
323170322,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2341,94,322,98
323172006,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2302,53,2006,97
323170135,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2649,56,135,82
323172097,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2466,71,2097,67
323172099,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),104,75,2099,83
323172029,Mon Nov 12 2012 23:00:00 GMT-0500 (Eastern Standard Time),2029,62,2379,52
323172169,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),3216,46,2169,95
323172250,Mon Nov 12 2012 23:59:00 GMT-0500 (Eastern Standard Time),277,50,2250,84
323172287,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2540,72,2287,100
323172306,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2320,55,2306,79
323172329,Mon Nov 12 2012 20:30:00 GMT-0500 (Eastern Standard Time),2523,60,2329,89
323172294,Mon Nov 12 2012 19:30:00 GMT-0500 (Eastern Standard Time),2117,61,2294,73
323172350,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2525,41,2350,64
323172382,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2476,25,2382,70
323172378,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2196,52,2378,70
323172335,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2729,71,2335,59
323172428,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),3169,46,2428,109
323172448,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),3084,64,2448,55
323172483,Mon Nov 12 2012 21:30:00 GMT-0500 (Eastern Standard Time),2502,69,2483,80
323172430,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2736,65,2430,81
323172443,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),79,72,2443,55
323172463,Mon Nov 12 2012 22:05:00 GMT-0500 (Eastern Standard Time),331,79,2463,96
323172439,Mon Nov 12 2012 22:00:00 GMT-0500 (Eastern Standard Time),2464,54,2439,92
323172507,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2803,49,2507,81
323172514,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),44,61,2514,55
323172515,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),3093,71,2515,76
323172535,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2370,40,2535,59
323172546,Mon Nov 12 2012 20:00:00 GMT-0500 (Eastern Standard Time),2358,61,2546,89
