friendly_school,sports_ref_id
Montana State,montana-state
Morehead State,morehead-state
Morgan State,morgan-state
Mount St. Mary's,mount-st-marys
Murray State,murray-state
Navy,navy
Nebraska,nebraska
Nebraska-Omaha,nebraska-omaha
Nevada,nevada
New Hampshire,new-hampshire
New Mexico,new-mexico
New Mexico State,new-mexico-state
New Orleans,new-orleans
Niagara,niagara
Nicholls State,nicholls-state
NJIT,njit
Norfolk State,norfolk-state
North Carolina,north-carolina
UNC Asheville,north-carolina-asheville
North Carolina A&T,north-carolina-at
North Carolina Central,north-carolina-central
UNC Greensboro,north-carolina-greensboro
North Carolina State,north-carolina-state
North Carolina-Wilmington,north-carolina-wilmington
North Dakota,north-dakota
North Dakota State,north-dakota-state
North Florida,north-florida
North Texas,north-texas
Northeastern,northeastern
Northern Arizona,northern-arizona
Northern Colorado,northern-colorado
Northern Illinois,northern-illinois
Northern Iowa,northern-iowa
Northern Kentucky,northern-kentucky
Northwestern,northwestern
Northwestern State,northwestern-state
Notre Dame,notre-dame
Oakland,oakland
Ohio,ohio
Ohio State,ohio-state
Oklahoma,oklahoma
Oklahoma State,oklahoma-state
Old Dominion,old-dominion
Oral Roberts,oral-roberts
Oregon,oregon
Oregon State,oregon-state
Pacific,pacific
Penn State,penn-state
Pennsylvania,pennsylvania
Pepperdine,pepperdine
Pittsburgh,pittsburgh
Portland,portland
Portland State,portland-state
Prairie View,prairie-view
Presbyterian,presbyterian
Princeton,princeton
Providence,providence
Purdue,purdue
Quinnipiac,quinnipiac
Radford,radford
Rhode Island,rhode-island
Rice,rice
Richmond,richmond
Rider,rider
Robert Morris,robert-morris
Rutgers,rutgers
Sacramento State,sacramento-state
Sacred Heart,sacred-heart
St. Francis (PA),saint-francis-pa
Saint Joseph's,saint-josephs
Saint Louis,saint-louis
Saint Mary's (CA),saint-marys-ca
St. Peter's,saint-peters
Sam Houston State,sam-houston-state
Samford,samford
San Diego,san-diego
San Diego State,san-diego-state
San Francisco,san-francisco
San Jose State,san-jose-state
Santa Clara,santa-clara
Savannah State,savannah-state
Seattle,seattle
Seton Hall,seton-hall
Siena,siena
South Alabama,south-alabama
South Carolina,south-carolina
South Carolina State,south-carolina-state
USC Upstate,south-carolina-upstate
South Dakota,south-dakota
South Dakota State,south-dakota-state
South Florida,south-florida
Southeast Missouri State,southeast-missouri-state
Southeastern Louisiana,southeastern-louisiana
Southern,southern
Southern Illinois,southern-illinois
SIU Edwardsville,southern-illinois-edwardsville
Southern Methodist,southern-methodist
Southern Mississippi,southern-mississippi
Southern Utah,southern-utah
St. Bonaventure,st-bonaventure
St. Francis (NY),st-francis-ny
St. John's,st-johns-ny
Stanford,stanford
Stephen F. Austin,stephen-f-austin
Stetson,stetson
Stony Brook,stony-brook
Syracuse,syracuse
Temple,temple
Tennessee,tennessee
Tennessee-Martin,tennessee-martin
Tennessee State,tennessee-state
Tennessee Tech,tennessee-tech
Texas,texas
Texas A&M,texas-am
Texas A&M-CC,texas-am-corpus-christi
Texas-Arlington,texas-arlington
TCU,texas-christian
Texas-Pan American,texas-pan-american
Texas Southern,texas-southern
Texas State,texas-state
Texas Tech,texas-tech
Toledo,toledo
Towson,towson
Troy,troy
Tulane,tulane
Tulsa,tulsa
UAB,uab
UCF,ucf
UCLA,ucla
UMBC,umbc
UMKC,umkc
UNLV,nevada-las-vegas
USC,usc
Utah,utah
Utah State,utah-state
Utah Valley,utah-valley
UTEP,utep
UTSA,utsa
Valparaiso,valparaiso
Vanderbilt,vanderbilt
Vermont,vermont
Villanova,villanova
Virginia,virginia
Virginia Commonwealth,virginia-commonwealth
Virginia Military,virginia-military-institute
Virginia Tech,virginia-tech
Wagner,wagner
Wake Forest,wake-forest
Washington,washington
Washington State,washington-state
Weber State,weber-state
West Virginia,west-virginia
Western Carolina,western-carolina
Western Illinois,western-illinois
Western Kentucky,western-kentucky
Western Michigan,western-michigan
Wichita State,wichita-state
William & Mary,william-mary
Winthrop,winthrop
Wisconsin,wisconsin
Wofford,wofford
Wright State,wright-state
Wyoming,wyoming
Xavier,xavier
Yale,yale
Youngstown State,youngstown-state
