espn_id,sportsref_id,teamrankings_id,friendly_school,friendly_full,conf_abbrev,conf_friendly,conf_sportsref_id
2633,tennessee,tennessee-volunteers,Tennessee,Tennessee Volunteers,SEC,Southeastern,sec
2634,tennessee-state,tennessee-st-tigers,Tennessee State,Tennessee State Tigers,OVC,Ohio Valley,ovc
2635,tennessee-tech,tennessee-tech-golden-eagles,Tennessee Tech,Tennessee Tech Golden Eagles,OVC,Ohio Valley,ovc
2636,utsa,texas-san-antonio-roadrunners,UTSA,Texas San Antonio Roadrunners,WAC,Western Athletic,wac
2638,utep,texas-el-paso-miners,UTEP,Texas El Paso Miners,CUSA,Conference USA,cusa
264,washington,washington-huskies,Washington,Washington Huskies,Pac-12,Pacific-12,pac-12
2640,texas-southern,texas-southern-tigers,Texas Southern,Texas Southern Tigers,SWAC,Southwest Athletic,swac
2641,texas-tech,texas-tech-red-raiders,Texas Tech,Texas Tech Red Raiders,Big 12,Big 12,big-12
2643,citadel,citadel-bulldogs,Citadel,Citadel Bulldogs,Southern,Southern,southern
2649,toledo,toledo-rockets,Toledo,Toledo Rockets,MAC,Mid-American,mac
265,washington-state,washington-st-cougars,Washington State,Washington St. Cougars,Pac-12,Pacific-12,pac-12
2653,troy,troy-trojans,Troy,Troy Trojans,Sun Belt,Sun Belt,sun-belt
2655,tulane,tulane-green-wave,Tulane,Tulane Green Wave,CUSA,Conference USA,cusa
2670,virginia-commonwealth,vcu-rams,Virginia Commonwealth,Virginia Commonwealth Rams,A-10,Atlantic 10,atlantic-10
2674,valparaiso,valparaiso-crusaders,Valparaiso,Valparaiso Crusaders,Horizon,Horizon League,horizon
2678,virginia-military-institute,vmi-keydets,Virginia Military,Virginia Military Keydets,Big South,Big South,big-south
2681,wagner,wagner-seahawks,Wagner,Wagner Seahawks,NEC,Northeast,northeast
269,marquette,marquette-golden-eagles,Marquette,Marquette Golden Eagles,Big East,Big East,big-east
2692,weber-state,weber-st-wildcats,Weber State,Weber St. Wildcats,Big Sky,Big Sky,big-sky
27,california-riverside,uc-riverside-highlanders,UC Riverside,UC Riverside Highlanders,Big West,Big West,big-west
270,milwaukee,wis-milwaukee-panthers,Milwaukee,Milwaukee Panthers,Horizon,Horizon League,horizon
2710,western-illinois,western-illinois-leathernecks,Western Illinois,Western Illinois Leathernecks,Summit,Summit League,summit
2711,western-michigan,western-michigan-broncos,Western Michigan,Western Michigan Broncos,MAC,Mid-American,mac
2717,western-carolina,western-carolina-catamounts,Western Carolina,Western Carolina Catamounts,Southern,Southern,southern
2724,wichita-state,wichita-st-shockers,Wichita State,Wichita St. Shockers,MVC,Missouri Valley,mvc
2729,william-mary,william--mary-tribe,William & Mary,William & Mary Tribe,CAA,Colonial Athletic Association,colonial
2737,winthrop,winthrop-eagles,Winthrop,Winthrop Eagles,Big South,Big South,big-south
2739,green-bay,green-bay-phoenix,Green Bay,Green Bay Phoenix,Horizon,Horizon League,horizon
2747,wofford,wofford-terriers,Wofford,Wofford Terriers,Southern,Southern,southern
275,wisconsin,wisconsin-badgers,Wisconsin,Wisconsin Badgers,Big Ten,Big Ten,big-ten
2750,wright-state,wright-st-raiders,Wright State,Wright St. Raiders,Horizon,Horizon League,horizon
2751,wyoming,wyoming-cowboys,Wyoming,Wyoming Cowboys,MWC,Mountain West,mwc
2752,xavier,xavier-musketeers,Xavier,Xavier Musketeers,A-10,Atlantic 10,atlantic-10
2754,youngstown-state,youngstown-st-penguins,Youngstown State,Youngstown St. Penguins,Horizon,Horizon League,horizon
2755,grambling,grambling-state-tigers,Grambling State,Grambling State Tigers,SWAC,Southwest Athletic,swac
276,marshall,marshall-thundering-herd,Marshall,Marshall Thundering Herd,CUSA,Conference USA,cusa
277,west-virginia,west-virginia-mountaineers,West Virginia,West Virginia Mountaineers,Big 12,Big 12,big-12
