espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323142352,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2066,Binghamton,45,2352,Loyola (MD),71,Nonconference
323142368,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2619,Stony Brook,60,2368,Marist,57,Nonconference
323142377,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2347,,54,2377,McNeese State,72,Nonconference
323142390,Fri Nov 09 2012 17:30:00 GMT-0500 (Eastern Standard Time),56,Stetson,79,2390,Miami (FL),87,Nonconference
323142393,Fri Nov 09 2012 20:45:00 GMT-0500 (Eastern Standard Time),2011,Alabama State,53,2393,Middle Tennessee State,97,Nonconference
323142405,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2275,Hofstra,62,2405,Monmouth,91,Nonconference
323142415,Fri Nov 09 2012 17:00:00 GMT-0500 (Eastern Standard Time),2415,Morgan State,71,2636,UTSA,59,Nonconference
323142426,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2372,,48,2426,Navy,75,Nonconference
323142427,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2717,Western Carolina,61,2427,UNC Asheville,71,Nonconference
323142429,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),2127,Charleston Southern,58,2429,Charlotte,68,Nonconference
323142437,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2459,Northern Illinois,64,2437,Nebraska-Omaha,77,Nonconference
323142443,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),23,San Jose State,68,2443,New Orleans,72,Nonconference
323142448,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2256,,52,2448,North Carolina A&T,83,Nonconference
323142449,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),628,,47,2449,North Dakota State,93,Nonconference
323142463,Fri Nov 09 2012 22:30:00 GMT-0500 (Eastern Standard Time),2492,Pepperdine,75,2463,Cal State Northridge,81,Nonconference
323142466,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2194,,77,2466,Northwestern State,118,Nonconference
323142473,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2790,,62,2473,Oakland,96,Nonconference
323142502,Fri Nov 09 2012 23:05:00 GMT-0500 (Eastern Standard Time),205,,58,2502,Portland State,77,Nonconference
323142509,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2083,Bucknell,70,2509,Purdue,65,Nonconference
323142520,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2523,Robert Morris,54,2520,Rider,79,Nonconference
323142542,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),3174,,62,2542,Savannah State,84,Nonconference
323142550,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),140,UMKC,36,2550,Seton Hall,75,Nonconference
323142561,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),261,Vermont,54,2561,Siena,53,Nonconference
323142617,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2758,,30,2617,Stephen F. Austin,84,Nonconference
323142623,Fri Nov 09 2012 20:05:00 GMT-0500 (Eastern Standard Time),2494,,61,2623,Missouri State,89,Nonconference
323142628,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),13,Cal Poly,46,2628,TCU,53,Nonconference
323142633,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),338,Kennesaw State,67,2633,Tennessee,76,Nonconference
323142638,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),198,Oral Roberts,49,2638,UTEP,69,Nonconference
323142641,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2504,Prairie View,79,2641,Texas Tech,89,Nonconference
323142670,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),526,Florida Gulf Coast,57,2670,Virginia Commonwealth,80,Nonconference
323142674,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),290,Georgia Southern,54,2674,Valparaiso,85,Nonconference
