espn_id,sports_ref_id,teamrankings_id
2582,southern,southern-jaguars
79,southern-illinois,southern-illinois-salukis
2565,southern-illinois-edwardsville,siu-edwardsville-cougars
2567,southern-methodist,southern-methodist-mustangs
2572,southern-mississippi,southern-miss-golden-eagles
253,southern-utah,southern-utah-thunderbirds
179,st-bonaventure,st-bonaventure-bonnies
2597,st-francis-ny,st-francis-ny-terriers
2599,st-johns-ny,st-johns-red-storm
24,stanford,stanford-cardinal
2617,stephen-f-austin,stephen-f-austin-lumberjacks
56,stetson,stetson-hatters
2619,stony-brook,stony-brook-seawolves
183,syracuse,syracuse-orange
218,temple,temple-owls
2633,tennessee,tennessee-volunteers
2630,tennessee-martin,tenn-martin-skyhawks
2634,tennessee-state,tennessee-st-tigers
2635,tennessee-tech,tennessee-tech-golden-eagles
251,texas,texas-longhorns
245,texas-am,texas-am-aggies
357,texas-am-corpus-christi,texas-am-cc-islanders
250,texas-arlington,texas-arlington-mavericks
2628,texas-christian,texas-christian-horned-frogs
292,texas-pan-american,texas-pan-american-broncs
2640,texas-southern,texas-southern-tigers
326,texas-state,texas-state-bobcats
2641,texas-tech,texas-tech-red-raiders
2649,toledo,toledo-rockets
119,towson,towson-tigers
2653,troy,troy-trojans
2655,tulane,tulane-green-wave
202,tulsa,tulsa-golden-hurricane
5,uab,uab-blazers
2116,ucf,central-florida-knights
26,ucla,ucla-bruins
2378,umbc,md-baltimore-cty-retrievers
140,umkc,umkc-kangaroos
2439,nevada-las-vegas,unlv-runnin-rebels
30,usc,southern-california-trojans
254,utah,utah-utes
328,utah-state,utah-st-aggies
3084,utah-valley,utah-valley-wolverines
2638,utep,texas-el-paso-miners
2636,utsa,texas-san-antonio-roadrunners
2674,valparaiso,valparaiso-crusaders
238,vanderbilt,vanderbilt-commodores
261,vermont,vermont-catamounts
222,villanova,villanova-wildcats
258,virginia,virginia-cavaliers
2670,virginia-commonwealth,vcu-rams
2678,virginia-military-institute,vmi-keydets
259,virginia-tech,virginia-tech-hokies
2681,wagner,wagner-seahawks
154,wake-forest,wake-forest-demon-deacons
264,washington,washington-huskies
265,washington-state,washington-st-cougars
2692,weber-state,weber-st-wildcats
277,west-virginia,west-virginia-mountaineers
2717,western-carolina,western-carolina-catamounts
2710,western-illinois,western-illinois-leathernecks
98,western-kentucky,western-kentucky-hilltoppers
2711,western-michigan,western-michigan-broncos
2724,wichita-state,wichita-st-shockers
2729,william-mary,william--mary-tribe
2737,winthrop,winthrop-eagles
275,wisconsin,wisconsin-badgers
2747,wofford,wofford-terriers
2750,wright-state,wright-st-raiders
2751,wyoming,wyoming-cowboys
2752,xavier,xavier-musketeers
43,yale,yale-bulldogs
2754,youngstown-state,youngstown-st-penguins
