Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
28,Baldwin-Wallace Yellow Jackets,1948,1953,6,139,82,57,.590,,,0,0,0,0,0,0
29,Ball State Cardinals,1972,2014,43,1248,666,582,.534,0.28,-0.32,1,9,7,7,0,0
30,Baltimore Super Bees,1979,1983,5,133,46,87,.346,-11.98,-6.71,0,0,0,0,0,0
31,Baylor Bears,1907,2014,108,2553,1239,1314,.485,3.47,4.22,2,5,0,8,2,0
32,Belmont Bruins,2000,2014,15,474,299,175,.631,0.05,-3.62,0,8,6,6,0,0
33,Beloit Buccaneers,1911,1924,8,95,66,28,.702,,,0,0,0,,,
34,Bethune-Cookman Wildcats,1981,2014,34,996,350,646,.351,-17.13,-9.91,0,1,0,0,0,0
35,Binghamton Bearcats,2002,2014,13,387,148,239,.382,-10.33,-5.64,0,1,1,1,0,0
36,Birmingham-Southern Panthers,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
37,Bloomsburg Huskies,1896,1911,15,143,88,55,.615,,,0,0,0,,,
38,Boise State Broncos,1972,2014,43,1250,682,568,.546,0.60,-0.46,0,5,5,6,0,0
39,Boston College Eagles,1946,2014,69,1920,1081,839,.563,8.38,6.45,8,8,2,18,0,0
40,Boston University Terriers,1916,2014,88,1971,1012,959,.513,-3.21,-4.61,0,8,6,7,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
41,Bowling Green State Falcons,1916,2014,99,2407,1299,1108,.540,-0.44,-0.12,2,9,0,4,0,0
42,Bradley Braves,1903,2014,110,2705,1602,1103,.592,3.64,2.52,12,8,2,8,2,0
43,Brigham Young College,1908,1908,1,11,10,1,.909,,,0,0,0,,,
44,Brigham Young Cougars,1903,2014,112,2751,1713,1038,.623,9.17,4.31,10,25,3,28,0,0
45,Brooklyn Bulldogs,1934,1992,25,567,233,334,.411,-19.22,-9.63,0,0,0,0,0,0
46,Brown Bears,1901,2014,108,2426,980,1446,.404,-10.36,-5.22,0,1,0,2,0,0
47,Bryant Bulldogs,2011,2014,4,123,48,75,.390,-9.31,-4.25,0,0,0,0,0,0
48,Bucknell Bison,1896,2014,119,2510,1341,1169,.534,-4.67,-6.35,0,12,6,6,0,0
49,Buffalo Bulls,1907,2014,45,1033,494,539,.478,-5.65,-2.61,0,2,0,0,0,0
50,Butler Bulldogs,1897,2014,116,2573,1490,1083,.579,3.44,1.22,5,13,7,12,2,0
51,Cal Poly Mustangs,1995,2014,20,585,247,338,.422,-6.27,-1.84,0,1,1,1,0,0
52,Cal State Bakersfield Roadrunners,2011,2014,4,121,52,69,.430,-7.46,-3.06,0,0,0,0,0,0
