Wk,Date,Rk,School,ID,Rating,Prev,High,Low
16,2013-02-18,321,Lamar,lamar-cardinals,0.398,321,138,336
16,2013-02-18,322,Montana St,montana-st-bobcats,0.396,322,163,335
16,2013-02-18,323,Jackson St,jackson-state-tigers,0.396,323,187,345
16,2013-02-18,324,Old Dominion,old-dominion-monarchs,0.396,324,4,327
16,2013-02-18,325,Navy,navy-midshipmen,0.393,325,115,337
16,2013-02-18,326,Liberty,liberty-flames,0.393,326,52,345
16,2013-02-18,327,Alabama St,alabama-st-hornets,0.393,327,59,335
16,2013-02-18,328,TX A&M-CC,texas-am-cc-islanders,0.390,328,258,343
16,2013-02-18,329,Prairie View,prairie-view-am-panthers,0.389,329,31,333
16,2013-02-18,330,Howard,howard-bison,0.385,330,269,339
16,2013-02-18,331,Alab A&M,alabama-am-bulldogs,0.383,331,47,346
16,2013-02-18,332,Citadel,citadel-bulldogs,0.383,332,10,347
16,2013-02-18,333,UC Riverside,uc-riverside-highlanders,0.380,333,227,345
16,2013-02-18,334,Idaho State,idaho-state-bengals,0.380,334,259,345
16,2013-02-18,335,Florida A&M,florida-am-rattlers,0.377,336,43,344
16,2013-02-18,336,Binghamton,binghamton-bearcats,0.376,338,119,347
16,2013-02-18,337,Portland St,portland-st-vikings,0.375,337,188,340
16,2013-02-18,338,NC-Grnsboro,nc-greensboro-spartans,0.374,335,197,345
16,2013-02-18,339,Longwood,longwood-lancers,0.373,339,110,346
16,2013-02-18,340,Presbyterian,presbyterian-blue-hose,0.368,341,57,346
16,2013-02-18,341,Kennesaw St,kennesaw-st-fighting-owls,0.367,340,160,346
16,2013-02-18,342,S Car State,south-carolina-state-bulldogs,0.364,342,261,347
16,2013-02-18,343,Maryland ES,maryland-e-shore-hawks,0.362,343,7,345
16,2013-02-18,344,Miss Val St,mississippi-valley-state-delta-devils,0.361,344,18,345
16,2013-02-18,345,Furman,furman-paladins,0.358,345,221,347
16,2013-02-18,346,New Orleans,new-orleans-privateers,0.353,346,1,346
16,2013-02-18,347,Grambling St,grambling-state-tigers,0.307,347,134,347
