espn_id,school
2751,wyoming-cowboys
2752,xavier-musketeers
2754,youngstown-state-penguins
2755,grambling-state-tigers
2803,bryant-university-bulldogs
2870,ipfw-mastodons
2885,n.j.i.t.-highlanders
2908,usc-upstate-spartans
2916,incarnate-word-cardinals
2934,cal-state-bakersfield-roadrunners
3084,utah-valley-wolverines
